contract_type,borrower,intelligent_summary
HEALTH FINANCING AGREEMENT,Julia Miller,"This HEALTH FINANCING AGREEMENT involves borrower Julia Miller and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $42,751.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
MOTORCYCLE FINANCING AGREEMENT,Patricia Hall,"This MOTORCYCLE FINANCING AGREEMENT involves borrower Patricia Hall and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $36,160.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
HEALTH FINANCING AGREEMENT,Patricia Hall,"This HEALTH FINANCING AGREEMENT involves borrower Patricia Hall and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $40,267.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
STUDENT LOAN AGREEMENT,Richard Taylor,"This STUDENT LOAN AGREEMENT involves borrower Richard Taylor and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $56,424.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
HEALTH FINANCING AGREEMENT,Mary Johnson,"This HEALTH FINANCING AGREEMENT involves borrower Mary Johnson and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $48,720.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
MOTORCYCLE FINANCING AGREEMENT,Patricia Hall,"This MOTORCYCLE FINANCING AGREEMENT involves borrower Patricia Hall and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $33,310.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
HEALTH FINANCING AGREEMENT,Peter Wilson,"This HEALTH FINANCING AGREEMENT involves borrower Peter Wilson and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $42,398.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
REAL ESTATE FINANCING AGREEMENT,Patricia Hall,"This REAL ESTATE FINANCING AGREEMENT involves borrower Patricia Hall and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $1,202,267.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
REAL ESTATE FINANCING AGREEMENT,Carlos Brown,"This REAL ESTATE FINANCING AGREEMENT involves borrower Carlos Brown and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $1,203,432.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
HEALTH FINANCING AGREEMENT,Julia Miller,"This HEALTH FINANCING AGREEMENT involves borrower Julia Miller and lender FINANCIAL BANK OF AMERICA Inc..

The financed amount is $47,142.00. under the jurisdiction of New York, NY.

The contract contains 8 major legal clauses and includes contractual obligations related to payment and compliance requirements."
